Requirement ID,Spec Section,Description,Implementation File,Test Coverage,Status
REQ-SEC-AUTH-001,13.3,Shell password stored as compile-time SHA-256 hash,kernel/src/shell.rs,const_hash invocation,Done
REQ-SEC-AUTH-002,13.3,Shell lockout after 3 failed attempts,kernel/src/shell.rs,SHELL_AUTH_MAX_ATTEMPTS cfg,Done
REQ-SEC-AUTH-003,13.3,Shell auth cfg-gated via SHELL_AUTH_EN,kernel/src/os_cfg.rs,const in os_cfg,Done
REQ-SEC-AUTH-004,13.3,Auth success/failure logged to audit,kernel/src/shell.rs,audit::log(AuthOk/AuthFail),Done
REQ-SEC-CAP-001,13.4,Per-task capability bitmask in TCB,kernel/src/sched.rs,capabilities field in TCB,Done
REQ-SEC-CAP-002,13.4,CAP_ALL for kernel tasks,kernel/src/sched.rs,task_create sets CAP_ALL,Done
REQ-SEC-CAP-003,13.4,CAP_USER_DEFAULT excludes SPI/I2C/GPIO for user tasks,kernel/src/sched.rs,const CAP_USER_DEFAULT,Done
REQ-SEC-CAP-004,13.4,Syscall dispatch checks capability before execution,kernel/src/syscall.rs,cap_for_syscall + task_has_capability,Done
REQ-SEC-CAP-005,13.4,Capability denial returns E_PERM with audit log,kernel/src/syscall.rs,audit::log(CapabilityDenied),Done
REQ-SEC-INT-001,13.5,CRC32 of .text computed at boot,kernel/src/integrity.rs,init() computes BOOT_CRC,Done
REQ-SEC-INT-002,13.5,Health monitor periodic .text CRC verification,kernel/src/health.rs,check_code_integrity(),Done
REQ-SEC-INT-003,13.5,Integrity failure logged and hook called,kernel/src/health.rs,os_hook_health_check_failed,Done
REQ-SEC-AUDIT-001,13.6,64-entry ring buffer audit log,kernel/src/audit.rs,MAX_ENTRIES=64,Done
REQ-SEC-AUDIT-002,13.6,10 security event types,kernel/src/audit.rs,AuditEvent enum (10 variants),Done
REQ-SEC-AUDIT-003,13.6,Per-entry tick + core_id + task_id,kernel/src/audit.rs,AuditEntry fields,Done
REQ-SEC-AUDIT-004,13.6,Persistent audit log to FAT32 /audit.log,kernel/src/audit.rs,persist_to_fs(),Done
REQ-SEC-JTAG-001,13.7,OSLAR_EL1 debug register lock on boot,kernel/src/jtag.rs,msr oslar_el1 instruction,Done
REQ-SEC-JTAG-002,13.7,GPIO 22-27 disabled in safety-critical mode on Pi 5,kernel/src/jtag.rs,cfg(bsp-rpi5) GPIO reconfigure,Done
REQ-SEC-JTAG-003,13.7,Lockdown controlled by DEBUG_LOCKDOWN cfg,kernel/src/os_cfg.rs,const DEBUG_LOCKDOWN,Done
REQ-SEC-HEALTH-001,13.5,Health monitor extended to 8 checks with code integrity,kernel/src/health.rs,check_code_integrity added,Done
